date,flu remedies,meningitis symptoms,pcp pneumonia,flu vaccine,symptoms of meningitis,tuberculosis,flu during pregnancy,what is pneumonia,flu virus,pneumonia symptoms,home remedies for flu,meningitis vaccine,pneumonia treatment,pneumonia in children,swine flu symptoms,flu symptoms,symptoms of flu,tb meningitis,signs of meningitis,rsv virus,pneumonia causes,double pneumonia,aspiration pneumonia,meningitis symptoms in adults,what causes meningitis,cryptococcal meningitis,what is meningitis,symptoms of meningitis in adults,how to treat flu,swine flu,signs of pneumonia,rsv virus in infants,bacterial meningitis,colds and flu,what is flu,meningitis causes,flu medication,flu injection,bronchitis,cold and flu,symptoms of tb,flu treatment,bronchial pneumonia,viral meningitis,symptoms of pneumonia,is meningitis contagious,flu home remedies,causes of pneumonia
2016-10-23,28.97102897102897,42.10526315789474,38.888888888888886,5.0,25.641025641025642,27.0,7.142857142857143,11.11111111111111,16.666666666666668,22.0,20.988805970149254,30.555555555555557,20.0,0.0,6.0,16.0,28.125,16.666666666666668,16.666666666666668,0.0,30.0,22.727272727272727,21.73913043478261,0.0,16.39344262295082,25.0,15.384615384615385,0.0,40.0,4.0,21.73913043478261,0.0,22.89156626506024,15.0,16.129032258064516,40.74074074074074,8.333333333333334,0.0,41.0,9.0,25.925925925925927,21.428571428571427,17.647058823529413,14.0,26.08695652173913,17.307692307692307,15.0,14.0
2016-10-30,17.382617382617383,42.10526315789474,16.666666666666668,3.0,25.641025641025642,18.0,21.428571428571427,22.22222222222222,5.555555555555555,17.0,0.0,0.0,15.0,14.285714285714286,5.0,12.0,6.25,16.666666666666668,16.666666666666668,0.0,14.0,0.0,0.0,0.0,14.754098360655737,12.5,38.46153846153846,20.0,0.0,2.0,10.144927536231885,0.0,16.867469879518072,10.0,12.903225806451612,33.333333333333336,20.833333333333332,0.0,28.0,11.0,16.049382716049383,21.428571428571427,17.647058823529413,18.0,19.565217391304348,17.307692307692307,9.0,13.0
2016-11-06,28.97102897102897,29.82456140350877,0.0,3.0,41.02564102564103,17.0,21.428571428571427,33.333333333333336,11.11111111111111,17.0,27.98507462686567,19.444444444444443,10.0,0.0,2.0,13.0,18.75,50.0,16.666666666666668,11.363636363636363,14.0,0.0,0.0,0.0,22.950819672131146,12.5,7.6923076923076925,0.0,40.0,2.0,20.28985507246377,0.0,8.433734939759036,7.0,12.903225806451612,14.814814814814815,16.666666666666668,0.0,37.0,19.0,46.91358024691358,9.523809523809524,0.0,13.0,18.47826086956522,17.307692307692307,32.0,0.0
2016-11-13,32.83383283383284,38.59649122807018,16.666666666666668,0.0,10.256410256410257,24.0,21.428571428571427,44.44444444444444,11.11111111111111,40.0,40.57835820895522,19.444444444444443,15.0,0.0,2.0,12.0,15.625,16.666666666666668,16.666666666666668,0.0,49.0,22.727272727272727,43.47826086956522,15.151515151515152,0.0,12.5,15.384615384615385,0.0,0.0,2.0,21.73913043478261,0.0,44.57831325301205,0.0,6.451612903225806,11.11111111111111,20.833333333333332,0.0,28.0,14.0,39.50617283950617,11.904761904761905,17.647058823529413,23.0,20.652173913043477,17.307692307692307,30.0,0.0
2016-11-20,15.451215451215452,43.85964912280702,27.77777777777778,3.0,25.641025641025642,18.0,21.428571428571427,22.22222222222222,5.555555555555555,21.0,15.391791044776118,19.444444444444443,10.0,14.285714285714286,0.0,7.0,9.375,50.0,16.666666666666668,11.363636363636363,29.0,0.0,0.0,43.93939393939394,0.0,12.5,7.6923076923076925,40.0,40.0,2.0,10.144927536231885,0.0,18.072289156626507,0.0,12.903225806451612,11.11111111111111,16.666666666666668,3.0303030303030303,26.0,14.0,30.864197530864196,21.428571428571427,17.647058823529413,9.0,20.652173913043477,17.307692307692307,20.0,27.0
2016-11-27,30.902430902430904,36.8421052631579,0.0,0.0,20.512820512820515,12.0,21.428571428571427,55.55555555555556,5.555555555555555,21.0,9.794776119402984,38.888888888888886,10.0,14.285714285714286,0.0,8.0,9.375,25.0,25.0,0.0,33.0,0.0,0.0,0.0,31.147540983606557,12.5,46.15384615384615,0.0,40.0,1.0,15.942028985507246,0.0,13.25301204819277,7.0,9.67741935483871,7.407407407407407,25.0,3.0303030303030303,31.0,7.0,22.22222222222222,11.904761904761905,17.647058823529413,32.0,19.565217391304348,69.23076923076923,29.0,20.0
2016-12-04,36.696636696636695,22.80701754385965,16.666666666666668,3.0,15.384615384615385,14.0,7.142857142857143,22.22222222222222,0.0,14.0,39.179104477611936,0.0,0.0,0.0,2.0,12.0,25.0,25.0,16.666666666666668,0.0,14.0,0.0,19.565217391304348,13.636363636363637,0.0,12.5,15.384615384615385,0.0,0.0,1.0,0.0,0.0,16.867469879518072,7.0,22.580645161290324,11.11111111111111,12.5,3.0303030303030303,27.0,11.0,27.160493827160494,16.666666666666668,0.0,0.0,19.565217391304348,17.307692307692307,24.0,13.0
2016-12-11,25.10822510822511,26.31578947368421,22.22222222222222,4.0,30.76923076923077,10.0,14.285714285714286,11.11111111111111,16.666666666666668,24.0,27.98507462686567,22.22222222222222,10.0,0.0,4.0,11.0,15.625,16.666666666666668,16.666666666666668,22.727272727272727,32.0,25.0,23.91304347826087,16.666666666666668,0.0,25.0,15.384615384615385,20.0,40.0,2.0,0.0,0.0,9.63855421686747,8.0,6.451612903225806,25.925925925925927,20.833333333333332,0.0,33.0,18.0,12.345679012345679,11.904761904761905,0.0,20.0,16.304347826086957,19.23076923076923,22.0,0.0
2016-12-18,19.314019314019315,40.35087719298246,22.22222222222222,4.0,10.256410256410257,11.0,21.428571428571427,33.333333333333336,16.666666666666668,17.0,29.384328358208954,0.0,0.0,0.0,5.0,17.0,9.375,16.666666666666668,0.0,11.363636363636363,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,13.043478260869565,0.0,20.481927710843372,0.0,9.67741935483871,18.51851851851852,0.0,4.545454545454546,32.0,19.0,33.333333333333336,26.19047619047619,0.0,17.0,18.47826086956522,21.153846153846153,17.0,31.0
2016-12-25,38.62803862803863,22.80701754385965,22.22222222222222,0.0,25.641025641025642,14.0,14.285714285714286,22.22222222222222,22.22222222222222,19.0,40.57835820895522,0.0,15.0,21.428571428571427,0.0,12.0,21.875,25.0,16.666666666666668,0.0,26.0,0.0,28.26086956521739,19.696969696969695,42.622950819672134,0.0,23.076923076923077,40.0,20.0,0.0,27.536231884057973,0.0,28.91566265060241,0.0,38.70967741935484,25.925925925925927,25.0,0.0,19.0,6.0,33.333333333333336,28.571428571428573,0.0,12.0,27.17391304347826,0.0,79.0,0.0
2017-01-01,23.176823176823177,24.56140350877193,38.888888888888886,3.0,10.256410256410257,16.0,7.142857142857143,22.22222222222222,5.555555555555555,30.0,32.18283582089552,22.22222222222222,20.0,0.0,0.0,6.0,6.25,0.0,0.0,0.0,10.0,0.0,0.0,0.0,16.39344262295082,12.5,7.6923076923076925,0.0,20.0,1.0,11.594202898550725,0.0,9.63855421686747,0.0,16.129032258064516,25.925925925925927,50.0,0.0,33.0,19.0,17.28395061728395,40.476190476190474,19.607843137254903,15.0,31.52173913043478,38.46153846153846,26.0,0.0
2017-01-08,21.245421245421245,35.08771929824562,0.0,5.0,10.256410256410257,15.0,7.142857142857143,11.11111111111111,16.666666666666668,14.0,23.78731343283582,38.888888888888886,15.0,0.0,2.0,14.0,6.25,16.666666666666668,16.666666666666668,11.363636363636363,23.0,0.0,0.0,13.636363636363637,14.754098360655737,12.5,7.6923076923076925,20.0,40.0,1.0,0.0,0.0,8.433734939759036,7.0,12.903225806451612,7.407407407407407,12.5,0.0,29.0,9.0,39.50617283950617,9.523809523809524,17.647058823529413,17.0,9.782608695652174,0.0,18.0,13.0
2017-01-15,15.451215451215452,15.789473684210526,0.0,0.0,5.128205128205129,14.0,21.428571428571427,33.333333333333336,16.666666666666668,27.0,29.384328358208954,38.888888888888886,10.0,0.0,0.0,10.0,12.5,16.666666666666668,16.666666666666668,0.0,23.0,0.0,0.0,13.636363636363637,0.0,12.5,15.384615384615385,20.0,40.0,0.0,10.144927536231885,0.0,16.867469879518072,7.0,25.806451612903224,18.51851851851852,37.5,0.0,13.0,13.0,20.987654320987655,21.428571428571427,0.0,27.0,29.347826086956523,25.0,14.0,13.0
2017-01-22,15.451215451215452,28.07017543859649,0.0,5.0,20.512820512820515,28.0,14.285714285714286,22.22222222222222,16.666666666666668,27.0,19.589552238805968,0.0,10.0,14.285714285714286,2.0,11.0,6.25,25.0,16.666666666666668,0.0,28.0,0.0,39.130434782608695,13.636363636363637,14.754098360655737,37.5,7.6923076923076925,20.0,0.0,1.0,10.144927536231885,0.0,12.048192771084338,14.0,32.25806451612903,18.51851851851852,29.166666666666668,0.0,25.0,19.0,64.19753086419753,9.523809523809524,17.647058823529413,9.0,33.69565217391305,0.0,14.0,13.0
2017-01-29,32.83383283383284,29.82456140350877,33.333333333333336,6.0,20.512820512820515,28.0,28.571428571428573,11.11111111111111,16.666666666666668,33.0,32.18283582089552,0.0,10.0,14.285714285714286,0.0,14.0,25.0,25.0,25.0,11.363636363636363,18.0,0.0,39.130434782608695,0.0,29.508196721311474,12.5,15.384615384615385,0.0,20.0,2.0,10.144927536231885,0.0,8.433734939759036,13.0,22.580645161290324,44.44444444444444,29.166666666666668,0.0,27.0,15.0,46.91358024691358,9.523809523809524,15.686274509803921,17.0,28.26086956521739,0.0,36.0,12.0
2017-02-05,38.62803862803863,31.57894736842105,16.666666666666668,5.0,5.128205128205129,27.0,28.571428571428573,22.22222222222222,5.555555555555555,13.0,18.190298507462686,0.0,35.0,0.0,2.0,12.0,12.5,25.0,25.0,0.0,26.0,40.90909090909091,56.52173913043478,0.0,14.754098360655737,12.5,15.384615384615385,0.0,20.0,2.0,10.144927536231885,0.0,15.662650602409638,7.0,6.451612903225806,37.03703703703704,25.0,4.545454545454546,35.0,15.0,25.925925925925927,23.80952380952381,15.686274509803921,25.0,8.695652173913043,0.0,49.0,0.0
2017-02-12,28.97102897102897,33.333333333333336,33.333333333333336,3.0,5.128205128205129,17.0,14.285714285714286,11.11111111111111,5.555555555555555,36.0,36.38059701492537,0.0,20.0,21.428571428571427,2.0,14.0,25.0,16.666666666666668,16.666666666666668,0.0,31.0,20.454545454545453,19.565217391304348,27.272727272727273,14.754098360655737,12.5,30.76923076923077,20.0,40.0,2.0,23.18840579710145,0.0,24.096385542168676,7.0,38.70967741935484,14.814814814814815,37.5,3.0303030303030303,48.0,16.0,55.55555555555556,9.523809523809524,0.0,17.0,27.17391304347826,15.384615384615385,40.0,36.0
2017-02-19,46.353646353646354,31.57894736842105,0.0,9.0,10.256410256410257,28.0,35.714285714285715,22.22222222222222,5.555555555555555,29.0,46.17537313432836,36.111111111111114,15.0,0.0,0.0,19.0,25.0,25.0,16.666666666666668,11.363636363636363,13.0,0.0,0.0,27.272727272727273,14.754098360655737,12.5,0.0,0.0,20.0,3.0,10.144927536231885,0.0,15.662650602409638,7.0,19.35483870967742,18.51851851851852,20.833333333333332,9.090909090909092,38.0,15.0,30.864197530864196,19.047619047619047,0.0,17.0,18.47826086956522,32.69230769230769,49.0,12.0
2017-02-26,50.21645021645022,42.10526315789474,16.666666666666668,9.0,25.641025641025642,29.0,21.428571428571427,11.11111111111111,5.555555555555555,34.0,43.37686567164179,16.666666666666668,0.0,14.285714285714286,2.0,18.0,21.875,16.666666666666668,33.333333333333336,34.090909090909086,25.0,0.0,17.391304347826086,0.0,13.114754098360656,37.5,15.384615384615385,40.0,40.0,2.0,8.695652173913043,0.0,7.228915662650603,0.0,32.25806451612903,25.925925925925927,16.666666666666668,0.0,35.0,18.0,24.691358024691358,9.523809523809524,15.686274509803921,16.0,8.695652173913043,15.384615384615385,47.0,12.0
