date,flu symptoms,swine flu,flu remedies,symptoms of flu,flu medication,flu vaccine,cat flu,flu home remedies,swine flu symptoms,home remedies for flu,flu during pregnancy,bird flu,cat flu in dogs,man flu,flu injection,home remedy for flu,what is mono,meningitis symptoms,symptoms of meningitis,meningitis causes,what is meningitis,tb meningitis,cryptococcal meningitis,meningitis in children,is meningitis contagious,causes of meningitis,what causes meningitis,meningitis symptoms children,symptoms of malaria,rsv virus,pneumonia symptoms,symptoms of pneumonia,pneumonia causes,pneumonia treatment,signs of pneumonia,pneumonia in children,bronchitis,bronchial pneumonia,what causes pneumonia,walking pneumonia,signs and symptoms of pneumonia,pcp pneumonia,lobar pneumonia
2014-05-04,20.634920634920636,3.0,19.35483870967742,33.333333333333336,28.571428571428573,0.0,22.727272727272727,34.66666666666667,5.0,14.285714285714286,13.402061855670103,1.2089552238805972,18.571428571428573,36.36363636363637,0.0,11.958874458874458,0.0,31.0,6.451612903225806,0.0,0.0,0.0,0.0,14.814814814814815,22.950819672131146,0.0,0.0,0.0,6.0,15.2,5.714285714285714,9.164420485175203,6.451612903225806,19.23076923076923,0.0,0.0,42.0,24.0,48.97959183673469,42.10526315789474,0.0,0.0,0.0
2014-05-11,12.698412698412698,3.0,38.70967741935484,4.166666666666667,28.571428571428573,11.864406779661017,0.0,8.666666666666668,0.0,23.80952380952381,26.804123711340207,0.0,0.0,0.0,17.77777777777778,11.958874458874458,0.0,34.0,33.87096774193548,5.714285714285714,42.30769230769231,0.0,19.444444444444443,0.0,0.0,31.03448275862069,41.53846153846154,0.0,22.0,9.6,17.142857142857142,9.164420485175203,6.451612903225806,0.0,9.090909090909092,20.0,56.0,23.0,47.95918367346939,0.0,0.0,0.0,0.0
2014-05-18,12.698412698412698,5.0,38.70967741935484,4.166666666666667,14.285714285714286,13.559322033898304,0.0,47.66666666666667,5.0,23.80952380952381,43.29896907216495,0.0,0.0,12.727272727272727,0.0,0.0,21.428571428571427,9.0,0.0,7.142857142857143,30.76923076923077,11.188811188811188,0.0,14.814814814814815,0.0,17.24137931034483,0.0,0.0,29.0,10.4,24.761904761904763,19.856244384546272,9.67741935483871,0.0,0.0,0.0,34.0,0.0,52.04081632653061,0.0,0.0,44.0,0.0
2014-05-25,20.634920634920636,4.0,19.35483870967742,4.166666666666667,28.571428571428573,5.084745762711864,27.272727272727273,26.000000000000004,3.0,28.571428571428573,60.824742268041234,0.0,84.28571428571429,0.0,0.0,0.0,0.0,49.0,40.32258064516129,21.428571428571427,17.307692307692307,0.0,47.22222222222222,0.0,24.59016393442623,17.24137931034483,47.69230769230769,0.0,6.0,11.2,26.666666666666668,21.38364779874214,9.67741935483871,11.538461538461538,27.272727272727273,0.0,44.0,0.0,55.10204081632653,0.0,28.125,0.0,0.0
2014-06-01,14.285714285714286,1.0,43.5483870967742,12.5,33.333333333333336,37.28813559322034,0.0,26.000000000000004,3.0,28.571428571428573,29.896907216494846,0.0,41.42857142857143,26.363636363636363,64.44444444444444,0.0,0.0,14.0,16.129032258064516,7.142857142857143,15.384615384615385,23.776223776223777,22.22222222222222,0.0,0.0,0.0,0.0,0.0,18.0,5.6,32.38095238095238,32.075471698113205,16.129032258064516,0.0,22.727272727272727,0.0,44.0,0.0,81.63265306122449,0.0,0.0,0.0,0.0
2014-06-08,31.746031746031747,6.0,14.516129032258066,29.166666666666668,14.285714285714286,10.169491525423728,27.272727272727273,26.000000000000004,0.0,14.285714285714286,61.855670103092784,0.0,64.28571428571429,13.636363636363637,0.0,0.0,0.0,35.0,16.129032258064516,14.285714285714286,50.0,0.0,25.0,0.0,0.0,0.0,0.0,16.0,12.0,5.6,26.666666666666668,42.76729559748428,9.67741935483871,11.538461538461538,13.636363636363637,0.0,64.0,0.0,27.551020408163264,0.0,0.0,0.0,44.44444444444444
2014-06-15,36.507936507936506,8.0,24.193548387096776,8.333333333333334,9.523809523809524,5.084745762711864,13.636363636363637,13.000000000000002,9.0,28.571428571428573,31.95876288659794,0.0,0.0,13.636363636363637,44.44444444444444,0.0,0.0,15.0,24.193548387096776,21.428571428571427,17.307692307692307,0.0,0.0,0.0,0.0,18.39080459770115,49.23076923076923,0.0,19.0,12.0,34.285714285714285,21.38364779874214,9.67741935483871,34.61538461538461,13.636363636363637,30.0,55.0,0.0,0.0,0.0,0.0,49.0,0.0
2014-06-22,25.396825396825395,7.0,33.87096774193549,29.166666666666668,28.571428571428573,13.559322033898304,27.272727272727273,0.0,6.0,52.38095238095238,60.824742268041234,0.6716417910447762,21.428571428571427,40.0,22.22222222222222,7.034632034632034,23.80952380952381,29.0,24.193548387096776,0.0,32.69230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,33.333333333333336,10.69182389937107,25.806451612903224,23.076923076923077,36.36363636363637,0.0,66.0,0.0,27.551020408163264,0.0,0.0,47.0,0.0
2014-06-29,38.095238095238095,11.0,19.35483870967742,29.166666666666668,0.0,5.084745762711864,13.636363636363637,13.000000000000002,13.0,38.095238095238095,56.70103092783505,1.2537313432835822,20.0,25.454545454545453,0.0,12.662337662337661,42.857142857142854,18.0,22.580645161290324,0.0,15.384615384615385,11.188811188811188,0.0,0.0,0.0,0.0,0.0,14.0,12.0,0.0,37.142857142857146,30.548068283917342,32.25806451612903,19.23076923076923,13.636363636363637,30.0,57.0,0.0,25.510204081632654,0.0,0.0,0.0,0.0
2014-07-06,20.634920634920636,7.0,29.03225806451613,12.5,19.047619047619047,5.084745762711864,36.36363636363637,13.000000000000002,3.0,38.095238095238095,73.19587628865979,1.9253731343283584,20.0,0.0,0.0,0.0,66.66666666666667,9.0,8.064516129032258,12.857142857142858,30.76923076923077,0.0,0.0,0.0,49.18032786885246,17.24137931034483,23.076923076923077,0.0,6.0,5.6,63.80952380952381,61.096136567834684,35.483870967741936,0.0,13.636363636363637,0.0,62.0,0.0,53.06122448979592,0.0,27.083333333333332,0.0,0.0
2014-07-13,38.095238095238095,17.0,72.58064516129033,25.0,14.285714285714286,13.559322033898304,50.0,47.66666666666667,11.0,14.285714285714286,58.76288659793814,0.0,20.0,12.727272727272727,0.0,0.0,0.0,14.0,8.064516129032258,12.857142857142858,30.76923076923077,0.0,0.0,14.814814814814815,0.0,0.0,46.15384615384615,0.0,0.0,0.0,57.142857142857146,71.78796046720575,35.483870967741936,11.538461538461538,13.636363636363637,0.0,56.0,0.0,0.0,0.0,27.083333333333332,68.0,0.0
2014-07-20,25.396825396825395,9.0,53.22580645161291,20.833333333333332,14.285714285714286,8.474576271186441,50.0,47.66666666666667,3.0,23.80952380952381,28.8659793814433,0.0,40.0,12.727272727272727,20.0,6.331168831168831,0.0,37.0,22.580645161290324,7.142857142857143,15.384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,6.666666666666667,10.69182389937107,41.935483870967744,19.23076923076923,13.636363636363637,50.0,62.0,0.0,25.510204081632654,0.0,0.0,22.0,0.0
2014-07-27,26.984126984126984,13.0,19.35483870967742,12.5,23.80952380952381,5.084745762711864,13.636363636363637,34.66666666666667,16.0,38.095238095238095,14.43298969072165,0.0,20.0,37.27272727272727,0.0,6.331168831168831,0.0,27.0,8.064516129032258,7.142857142857143,59.61538461538461,0.0,0.0,0.0,0.0,32.18390804597701,0.0,0.0,11.0,10.4,24.761904761904763,39.712488769092545,0.0,30.76923076923077,0.0,30.0,41.0,25.0,0.0,0.0,0.0,0.0,0.0
